ids,labels
0,68
1,33
2,27
3,51
4,71
5,79
6,27
7,75
8,71
9,0
10,12
11,75
12,81
13,69
14,40
15,43
16,92
17,97
18,70
19,53
20,70
21,39
22,75
23,69
24,21
25,16
26,39
27,8
28,8
29,45
30,20
31,61
32,41
33,73
34,56
35,30
36,58
37,35
38,25
39,37
40,42
41,24
42,39
43,30
44,56
45,22
46,41
47,58
48,75
49,76
50,4
51,6
52,9
53,57
54,11
55,32
56,71
57,52
58,42
59,69
60,99
61,23
62,31
63,99
64,45
65,98
66,42
67,62
68,63
69,92
70,66
71,8
72,23
73,91
74,76
75,32
76,82
77,10
78,77
79,61
80,71
81,78
82,54
83,6
84,29
85,89
86,78
87,42
88,35
89,73
90,22
91,18
92,27
93,21
94,13
95,4
96,74
97,42
98,17
99,26
100,26
101,83
102,47
103,86
104,43
105,69
106,76
107,17
108,57
109,59
110,25
111,20
112,27
113,0
114,9
115,71
116,48
117,43
118,0
119,56
120,85
121,10
122,19
123,92
124,33
125,5
126,3
127,42
128,70
129,46
130,46
131,16
132,1
133,74
134,42
135,91
136,60
137,97
138,52
139,23
140,42
141,11
142,52
143,85
144,24
145,95
146,58
147,39
148,51
149,58
150,58
151,77
152,42
153,60
154,45
155,66
156,58
157,20
158,7
159,42
160,36
161,8
162,86
163,10
164,30
165,47
166,54
167,27
168,51
169,83
170,9
171,33
172,74
173,16
174,95
175,83
176,23
177,73
178,18
179,40
180,39
181,66
182,22
183,65
184,16
185,28
186,16
187,95
188,98
189,83
190,12
191,7
192,26
193,13
194,94
195,24
196,58
197,42
198,7
199,87
200,6
201,78
202,68
203,60
204,6
205,23
206,44
207,31
208,80
209,78
210,95
211,98
212,49
213,89
214,97
215,33
216,57
217,30
218,86
219,81
220,94
221,33
222,99
223,77
224,12
225,44
226,0
227,76
228,79
229,71
230,89
231,57
232,59
233,24
234,65
235,25
236,51
237,36
238,82
239,31
240,23
241,24
242,34
243,21
244,11
245,53
246,80
247,93
248,42
249,39
250,91
251,16
252,50
253,68
254,67
255,42
256,42
257,75
258,6
259,42
260,42
261,76
262,89
263,55
264,19
265,91
266,62
267,44
268,18
269,62
270,99
271,51
272,52
273,0
274,42
275,18
276,67
277,77
278,40
279,62
280,78
281,84
282,28
283,8
284,30
285,66
286,6
287,66
288,42
289,92
290,27
291,42
292,39
293,27
294,96
295,12
296,16
297,67
298,43
299,89
300,52
301,12
302,40
303,7
304,39
305,18
306,76
307,31
308,44
309,28
310,51
311,18
312,41
313,42
314,55
315,29
316,67
317,15
318,61
319,8
320,17
321,85
322,2
323,67
324,12
